,Unnamed: 0.1,Unnamed: 0,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,location,style,house_age
23,23,23,8091400200,20140516T000000,252700.0,2,1.5,1070.0,9643,1.0,0,0,3,7,1070,0.0,1985.0,0,98030,47.3533,-122.166,1220,8386,Suburban,Ranch,37
24,24,24,3814700200,20141120T000000,329000.0,3,2.25,2450.0,6500,2.0,0,0,4,8,2450,0.0,1985.0,0,98030,47.3739,-122.172,2200,6865,Suburban,Colonial,37
25,25,25,1202000200,20141103T000000,233000.0,3,2.0,1710.0,4697,1.5,0,0,5,6,1710,0.0,1941.0,0,98002,47.3048,-122.218,1030,4705,Urban,Colonial,81
26,26,26,1794500383,20140626T000000,937000.0,3,1.75,2450.0,2691,,0,0,3,8,1750,700.0,1915.0,0,98119,47.6386,-122.36,1760,3573,Rural,Contemporary,107
27,27,27,3303700376,20141201T000000,667000.0,3,1.0,1400.0,1581,1.5,0,0,5,8,1400,0.0,1909.0,0,98112,47.6221,-122.314,1860,3861,Rural,Contemporary,113
28,28,28,5101402488,20140624T000000,438000.0,3,1.75,1520.0,6380,1.0,0,0,3,7,790,730.0,1948.0,0,98115,47.695,-122.304,1520,6235,Suburban,Contemporary,74
29,29,29,1873100390,20150302T000000,719000.0,4,2.5,2570.0,7173,2.0,0,0,3,8,2570,0.0,,0,98052,47.7073,-122.11,2630,6026,Urban,Contemporary,17
30,30,30,8562750320,20141110T000000,580500.0,3,2.5,2320.0,3980,2.0,0,0,3,8,2320,0.0,,0,98027,47.5391,-122.07,2580,3980,Urban,Colonial,19
31,31,31,2426039314,20141201T000000,280000.0,2,1.5,1190.0,1265,3.0,0,0,3,7,1190,0.0,2005.0,0,98133,47.7274,-122.357,1390,1756,Suburban,Cape Cod,17
32,32,32,461000390,20140624T000000,687500.0,4,1.75,2330.0,5000,1.5,0,0,4,7,1510,820.0,1929.0,0,98117,47.6823,-122.368,1460,5000,Urban,Ranch,93
33,33,33,7589200193,20141110T000000,535000.0,3,1.0,1090.0,3000,1.5,0,0,4,8,1090,0.0,,0,98117,47.6889,-122.375,1570,5080,Urban,Cape Cod,93
34,34,34,7955080270,20141203T000000,322500.0,4,2.75,2060.0,6659,,0,0,3,7,1280,780.0,1981.0,0,98058,47.4276,-122.157,2020,8720,Suburban,Cape Cod,41
35,35,35,9547205180,20140613T000000,696000.0,3,2.5,2300.0,3060,1.5,0,0,3,8,1510,790.0,,2002,98115,47.6827,-122.31,1590,3264,Urban,Victorian,92
36,36,36,9435300030,20140528T000000,550000.0,4,1.0,1660.0,34848,1.0,0,0,1,5,930,730.0,1933.0,0,98052,47.6621,-122.132,2160,11467,Suburban,Ranch,89
37,37,37,2768000400,20141230T000000,640000.0,4,2.0,,6000,2.0,0,0,4,8,2360,0.0,1904.0,0,98107,47.6702,-122.362,1730,4700,Urban,Ranch,118
38,38,38,7895500070,20150213T000000,240000.0,4,1.0,1220.0,8075,,0,0,2,7,890,330.0,1969.0,0,98001,47.3341,-122.282,1290,7800,Urban,Victorian,53
39,39,39,2078500320,20140620T000000,605000.0,4,2.5,2620.0,7553,2.0,0,0,3,8,2620,0.0,1996.0,0,98056,47.5301,-122.18,2620,11884,Urban,Colonial,26
40,40,40,5547700270,20140715T000000,625000.0,4,2.5,2570.0,5520,2.0,0,0,3,9,2570,0.0,2000.0,0,98074,47.6145,-122.027,2470,5669,Urban,Ranch,22
41,41,41,7766200013,20140811T000000,775000.0,4,2.25,4220.0,24186,1.0,0,0,3,8,2600,1620.0,1984.0,0,98166,47.445,-122.347,2410,30617,Suburban,Cape Cod,38
42,42,42,7203220400,20140707T000000,861990.0,5,2.75,3595.0,5639,2.0,0,0,3,9,3595,0.0,2014.0,0,98053,47.6848,-122.016,3625,5639,Urban,Ranch,8
43,43,43,9270200160,20141028T000000,685000.0,3,1.0,1570.0,2280,2.0,0,0,3,7,1570,0.0,1922.0,0,98119,47.6413,-122.364,1580,2640,Urban,Ranch,100
44,44,44,1432701230,20140729T000000,309000.0,3,1.0,1280.0,9656,1.0,0,0,4,6,920,360.0,1959.0,0,98058,47.4485,-122.175,1340,8808,Suburban,Ranch,63
45,45,45,8035350320,20140718T000000,488000.0,3,2.5,3160.0,13603,2.0,0,0,3,8,3160,0.0,,0,98019,47.7443,-121.977,3050,9232,Urban,Ranch,19
46,46,46,8945200830,20150325T000000,210490.0,3,1.0,,8528,1.0,0,0,3,6,990,0.0,,0,98023,47.3066,-122.371,1228,8840,Suburban,Victorian,56
47,47,47,4178300310,20140716T000000,785000.0,4,2.5,,13416,2.0,0,0,4,9,2290,0.0,1981.0,0,98007,47.6194,-122.151,2680,13685,Urban,Colonial,41
48,48,48,9215400105,20150428T000000,450000.0,3,1.75,1250.0,5963,1.0,0,0,4,7,1250,0.0,1953.0,0,98115,47.6796,-122.301,970,5100,Urban,Cape Cod,69
49,49,49,822039084,20150311T000000,1350000.0,3,2.5,2753.0,65005,,1,2,5,9,2165,588.0,1953.0,0,98070,47.4041,-122.451,2680,72513,Rural,Cape Cod,69
50,50,50,5245600105,20140916T000000,228000.0,3,1.0,,9199,1.0,0,0,3,7,1190,0.0,1955.0,0,98148,47.4258,-122.322,1190,9364,Suburban,Cape Cod,67
51,51,51,7231300125,20150217T000000,345000.0,5,2.5,3150.0,9134,1.0,0,0,4,8,1640,1510.0,1966.0,0,98056,47.4934,-122.189,1990,9133,Urban,Cape Cod,56
52,52,52,7518505990,20141231T000000,600000.0,3,1.75,1410.0,4080,1.0,0,0,4,7,1000,410.0,1950.0,0,98117,47.6808,-122.384,1410,4080,Urban,Contemporary,72
53,53,53,3626039271,20150205T000000,585000.0,2,1.75,1980.0,8550,1.0,0,0,3,7,990,990.0,,0,98117,47.6989,-122.369,1480,6738,Suburban,Contemporary,41
54,54,54,4217401195,20150303T000000,920000.0,5,2.25,2730.0,6000,1.5,0,0,3,8,2130,600.0,1927.0,0,98105,47.6571,-122.281,2730,6000,Urban,Ranch,95
55,55,55,9822700295,20140512T000000,885000.0,4,2.5,2830.0,5000,2.0,0,0,3,9,2830,0.0,1995.0,0,98105,47.6597,-122.29,1950,5000,Rural,Cape Cod,27
56,56,56,9478500640,20140819T000000,292500.0,4,2.5,2250.0,4495,,0,0,3,7,2250,0.0,2008.0,0,98042,47.3663,-122.114,2250,4500,Rural,Ranch,14
57,57,57,2799800710,20150407T000000,301000.0,3,2.5,,4750,,0,0,3,8,2420,0.0,2003.0,0,98042,47.3663,-122.122,2690,4750,Urban,Colonial,19
58,58,58,7922800400,20140827T000000,951000.0,5,3.25,3250.0,14342,2.0,0,4,4,8,3250,0.0,1968.0,0,98008,47.588,-122.116,2960,11044,Rural,Ranch,54
59,59,59,8079040320,20150223T000000,430000.0,4,3.0,1850.0,9976,2.0,0,0,3,8,1850,0.0,,0,98059,47.5059,-122.149,2270,8542,Suburban,Colonial,31
60,60,60,1516000055,20141210T000000,650000.0,3,2.25,2150.0,21235,1.0,0,3,4,8,1590,560.0,1959.0,0,98166,47.4336,-122.339,2570,18900,Rural,Contemporary,63
61,61,61,9558200045,20140828T000000,289000.0,3,1.75,1260.0,8400,1.0,0,0,3,7,1260,0.0,1954.0,0,98148,47.4366,-122.335,1290,8750,Urban,Contemporary,68
62,62,62,5072410070,20141021T000000,505000.0,3,1.75,2519.0,8690,2.0,0,0,5,8,2519,0.0,1973.0,0,98166,47.4428,-122.344,2500,9500,Rural,Contemporary,49
63,63,63,9528102996,20141207T000000,549000.0,3,1.75,1540.0,1044,3.0,0,0,3,8,1540,0.0,2014.0,0,98115,47.6765,-122.32,1580,3090,Suburban,Ranch,8
64,64,64,1189001180,20140603T000000,425000.0,3,2.25,1660.0,6000,1.0,0,0,3,7,1110,550.0,1979.0,0,98122,47.6113,-122.297,1440,4080,Rural,Ranch,43
65,65,65,3253500160,20141120T000000,317625.0,3,2.75,2770.0,3809,1.5,0,0,5,7,1770,1000.0,1925.0,0,98144,47.5747,-122.304,1440,4000,Suburban,Contemporary,97
66,66,66,3394100030,20140909T000000,975000.0,4,-1.0,2720.0,11049,2.0,0,0,3,10,2720,0.0,1989.0,0,98004,47.5815,-122.192,2750,11049,Urban,Ranch,33
67,67,67,3717000160,20141009T000000,287000.0,4,2.5,,4648,2.0,0,0,3,7,2240,0.0,2005.0,0,98001,47.3378,-122.257,2221,4557,Rural,Ranch,17
68,68,68,1274500060,20140825T000000,204000.0,3,1.0,1000.0,12070,1.0,0,0,4,7,1000,0.0,1968.0,0,98042,47.3621,-122.11,1010,12635,Urban,Colonial,54
69,69,69,1802000060,20140612T000000,1330000.0,5,2.25,3200.0,20158,1.0,0,0,3,8,1600,1600.0,1965.0,0,98004,47.6303,-122.215,3390,20158,Urban,Cape Cod,57
70,70,70,1525059190,20140912T000000,1040000.0,5,3.25,4770.0,50094,,0,0,4,11,3070,1700.0,1973.0,0,98005,47.6525,-122.16,3530,38917,Urban,Colonial,49
71,71,71,1049000060,20150105T000000,325000.0,3,2.0,1260.0,5612,1.0,0,0,4,7,1260,0.0,1972.0,0,98034,47.7362,-122.179,1640,4745,Rural,Cape Cod,50
72,72,72,8820901275,20140610T000000,571000.0,4,2.0,2750.0,7807,1.5,0,0,5,7,2250,500.0,1916.0,0,98125,47.7168,-122.287,1510,7807,Rural,Cape Cod,106
73,73,73,5416510140,20140710T000000,360000.0,4,2.5,2380.0,5000,2.0,0,0,3,8,2380,0.0,2005.0,0,98038,47.3608,-122.036,2420,5000,Suburban,Contemporary,17
74,74,74,3444100400,20150316T000000,349000.0,3,1.75,,50529,1.0,0,0,5,7,1090,700.0,1965.0,0,98042,47.3511,-122.073,1940,50529,Suburban,Ranch,57
75,75,75,3276920270,20141105T000000,832500.0,4,4.0,3430.0,35102,2.0,0,0,4,10,2390,1040.0,1986.0,0,98075,47.5822,-121.987,3240,35020,Suburban,Contemporary,36
76,76,76,4036801170,20141013T000000,380000.0,4,1.75,1760.0,7300,1.0,0,0,3,7,880,880.0,1956.0,0,98008,47.6034,-122.125,1680,7500,Urban,Cape Cod,66
77,77,77,2391600320,20150420T000000,480000.0,3,1.0,1040.0,5060,1.0,0,0,3,7,1040,0.0,,0,98116,47.5636,-122.394,890,5060,Urban,Cape Cod,81
78,78,78,6300000287,20140609T000000,410000.0,3,1.0,1410.0,5060,1.0,0,0,4,7,910,500.0,1956.0,0,98133,47.7073,-122.34,1130,5693,Rural,Contemporary,66
79,79,79,1531000030,20150323T000000,720000.0,4,2.5,,39683,2.0,0,0,3,10,3450,0.0,2002.0,0,98010,47.342,-122.025,3350,39750,Urban,Colonial,20
80,80,80,5104520400,20141202T000000,390000.0,3,2.5,2350.0,5100,2.0,0,0,3,8,2350,0.0,2003.0,0,98038,47.3512,-122.008,2350,5363,Suburban,Colonial,19
81,81,81,7437100340,20141222T000000,360000.0,4,2.5,,5889,2.0,0,0,3,7,1900,0.0,1992.0,0,98038,47.349,-122.031,1870,6405,Urban,Victorian,30
82,82,82,9418400240,20141028T000000,355000.0,2,1.0,2020.0,6720,1.0,0,0,3,7,1010,1010.0,1948.0,0,98118,47.5474,-122.291,1720,6720,Urban,Colonial,74
83,83,83,1523059105,20150128T000000,356000.0,3,1.5,1680.0,8712,1.0,0,0,3,8,1680,0.0,1964.0,0,98059,47.4811,-122.149,1850,8797,Urban,Colonial,58
84,84,84,1133000671,20140602T000000,315000.0,3,1.0,960.0,6634,1.0,0,0,3,6,960,0.0,1952.0,0,98125,47.7264,-122.31,1570,7203,Urban,Ranch,70
85,85,85,4232902595,20141114T000000,940000.0,3,1.5,2140.0,3600,2.0,0,0,3,9,1900,240.0,1925.0,0,98119,47.6337,-122.365,2020,4800,Suburban,Ranch,97
86,86,86,2599001200,20141103T000000,305000.0,5,2.25,2660.0,8400,1.5,0,0,5,7,2660,0.0,,0,98092,47.2909,-122.189,1590,8165,Suburban,Colonial,61
87,87,87,3342103156,20140618T000000,461000.0,3,3.25,2770.0,6278,2.0,0,0,3,9,1980,790.0,,0,98056,47.5228,-122.199,1900,7349,Suburban,Colonial,16
88,88,88,1332700270,20140519T000000,215000.0,2,2.25,1610.0,2040,2.0,0,0,4,7,1610,0.0,,0,98056,47.518,-122.194,1950,2025,Urban,Ranch,43
89,89,89,3869900162,20140904T000000,335000.0,2,1.75,1030.0,1066,2.0,0,0,3,7,765,265.0,,0,98136,47.5394,-122.387,1030,1106,Suburban,Cape Cod,16
90,90,90,2791500270,20140522T000000,243500.0,4,2.5,1980.0,7403,2.0,0,0,3,7,1980,0.0,1988.0,0,98023,47.2897,-122.372,1980,7510,Urban,Victorian,34
91,91,91,5036300431,20150311T000000,1100000.0,5,2.75,3520.0,6353,2.0,0,0,4,10,3520,0.0,2001.0,0,98199,47.6506,-122.391,2520,6250,Suburban,Contemporary,21
92,92,92,4168000060,20150226T000000,153000.0,3,1.0,1200.0,10500,1.0,0,0,3,7,1200,0.0,1962.0,0,98023,47.322,-122.351,1350,10500,Suburban,Cape Cod,60
93,93,93,6021501535,20140725T000000,430000.0,3,1.5,1580.0,5000,1.0,0,0,3,8,1290,290.0,1939.0,0,98117,47.687,-122.386,1570,4500,Suburban,Colonial,83
94,94,94,6021501535,20141223T000000,700000.0,3,1.5,1580.0,5000,,0,0,3,8,1290,290.0,1939.0,0,98117,47.687,-122.386,1570,4500,Urban,Ranch,83
95,95,95,1483300570,20140908T000000,905000.0,4,2.5,,10250,1.0,0,0,3,7,2390,910.0,1946.0,1991,98040,47.5873,-122.249,1950,6045,Suburban,Victorian,76
96,96,96,3422049190,20150330T000000,247500.0,3,1.75,,15681,1.0,0,0,3,7,1960,0.0,1967.0,0,98032,47.3576,-122.277,1750,15616,Rural,Colonial,55
97,97,97,1099611230,20140912T000000,199000.0,4,1.5,1160.0,6400,1.0,0,0,4,7,1160,0.0,1975.0,0,98023,47.3036,-122.378,1160,6400,Suburban,Victorian,47
98,98,98,722079104,20140711T000000,314000.0,3,1.75,1810.0,41800,1.0,0,0,5,7,1210,600.0,1980.0,0,98038,47.4109,-121.958,1650,135036,Urban,Contemporary,42
99,99,99,7338200240,20140516T000000,437500.0,3,2.5,2320.0,36847,2.0,0,2,3,9,2320,0.0,1992.0,0,98045,47.4838,-121.714,2550,35065,Rural,Colonial,30
100,100,100,1952200240,20140611T000000,850830.0,3,2.5,2070.0,13241,1.5,0,0,5,9,1270,800.0,1910.0,0,98102,47.6415,-122.315,2200,4500,Suburban,Colonial,112
101,101,101,5200100125,20141027T000000,555000.0,3,2.0,1980.0,3478,1.5,0,0,4,7,1440,540.0,1929.0,0,98117,47.6775,-122.372,1610,3478,Urban,Ranch,93
102,102,102,7214720075,20141212T000000,699950.0,3,2.25,2190.0,107593,2.0,0,0,4,8,2190,0.0,1983.0,0,98077,47.7731,-122.08,2570,47777,Suburban,Cape Cod,39
103,103,103,2450000295,20141007T000000,1090000.0,3,2.5,2920.0,8113,,0,0,3,8,2920,0.0,1950.0,2010,98004,47.5814,-122.196,2370,8113,Suburban,Colonial,72
104,104,104,6197800045,20140924T000000,290000.0,3,1.0,1210.0,33919,1.0,0,0,3,7,1210,0.0,1954.0,0,98058,47.4375,-122.184,1640,14910,Urban,Colonial,68
105,105,105,1328310370,20150402T000000,375000.0,3,2.5,2340.0,10005,1.0,0,0,4,8,1460,880.0,1978.0,0,98058,47.4431,-122.133,2250,8162,Urban,Ranch,44
106,106,106,546000875,20140523T000000,460000.0,3,1.0,,4005,1.5,0,0,4,7,1170,500.0,1939.0,0,98117,47.6878,-122.38,1240,4005,Urban,Victorian,83
107,107,107,3530510041,20140723T000000,188500.0,2,1.75,,2493,1.0,0,0,4,8,1240,0.0,1985.0,0,98198,47.3813,-122.322,1270,4966,Rural,Ranch,37
108,108,108,1853000400,20150305T000000,680000.0,4,2.5,3140.0,28037,2.0,0,0,4,10,3140,0.0,,0,98077,47.7304,-122.082,2990,35001,Suburban,Ranch,31
109,109,109,3134100116,20140827T000000,470000.0,5,1.75,2030.0,12342,2.0,0,0,4,7,2030,0.0,1942.0,0,98052,47.6417,-122.109,2500,9433,Suburban,Ranch,80
110,110,110,9545230140,20140725T000000,597750.0,4,2.5,2310.0,9624,,0,0,3,8,2310,0.0,1984.0,0,98027,47.5386,-122.053,1940,9636,Suburban,Contemporary,38
111,111,111,3362400511,20150304T000000,570000.0,3,1.75,1260.0,3328,1.0,0,0,5,6,700,560.0,1905.0,0,98103,47.6823,-122.349,1380,3536,Suburban,Contemporary,117
112,112,112,2525310310,20140916T000000,272500.0,3,1.75,1540.0,12600,1.0,0,0,4,7,1160,380.0,,0,98038,47.3624,-122.031,1540,11656,Rural,Ranch,42
113,113,113,6126500060,20141124T000000,329950.0,3,1.75,2080.0,5969,1.0,0,2,3,7,1080,1000.0,1971.0,0,98108,47.5474,-122.295,2090,5500,Urban,Cape Cod,51
114,114,114,8961960160,20141028T000000,480000.0,4,2.5,3230.0,16171,2.0,0,3,3,9,2520,710.0,2001.0,0,98001,47.3183,-122.253,2640,8517,Suburban,Ranch,21
115,115,115,3626039325,20141121T000000,740500.0,3,3.5,4380.0,6350,2.0,0,0,3,8,2780,1600.0,1900.0,1999,98117,47.6981,-122.368,1830,6350,Suburban,Cape Cod,122
116,116,116,3362400431,20140626T000000,518500.0,3,3.5,1590.0,1102,3.0,0,0,3,8,1590,0.0,2010.0,0,98103,47.6824,-122.347,1620,3166,Urban,Ranch,12
117,117,117,4060000240,20140623T000000,205425.0,2,1.0,880.0,6780,,0,0,4,6,880,0.0,1945.0,0,98178,47.5009,-122.248,1190,6780,Urban,Cape Cod,77
118,118,118,3454800060,20150108T000000,171800.0,4,2.0,1570.0,9600,1.0,0,0,3,6,1570,0.0,,0,98168,47.4965,-122.303,1880,9000,Suburban,Colonial,72
119,119,119,1695900060,20150511T000000,535000.0,4,1.0,1610.0,2982,1.5,0,0,4,7,1610,0.0,,0,98144,47.587,-122.294,1610,4040,Suburban,Contemporary,97
120,120,120,7278700070,20150102T000000,660000.0,3,2.5,2400.0,6474,1.0,0,2,3,8,1560,840.0,1964.0,0,98177,47.7728,-122.386,2340,10856,Suburban,Victorian,58
121,121,121,6675500070,20141119T000000,391500.0,3,2.0,,9132,1.0,0,0,3,7,1450,0.0,1987.0,0,98034,47.7288,-122.226,1580,9104,Rural,Contemporary,35
122,122,122,3626039187,20150406T000000,395000.0,2,1.0,770.0,6000,1.0,0,0,3,6,770,0.0,1953.0,0,98117,47.6999,-122.364,1710,6000,Rural,Contemporary,69
123,123,123,3524049083,20141104T000000,445000.0,4,1.75,2100.0,4400,1.5,0,0,5,7,1720,380.0,,0,98118,47.5299,-122.266,1850,4400,Urban,Ranch,98
124,124,124,3275860240,20140618T000000,770000.0,3,2.25,,10204,2.0,0,0,3,9,2910,0.0,1990.0,0,98052,47.6897,-122.098,2700,13992,Suburban,Ranch,32
125,125,125,4389200955,20150302T000000,1450000.0,4,2.75,2750.0,17789,1.5,0,0,3,8,1980,770.0,1914.0,1992,98004,47.6141,-122.212,3060,11275,Rural,Ranch,108
126,126,126,4058801670,20140717T000000,445000.0,3,2.25,2100.0,8201,,0,2,3,8,1620,480.0,1967.0,0,98178,47.5091,-122.244,2660,8712,Urban,Contemporary,55
127,127,127,8732020310,20140717T000000,260000.0,4,2.25,,8811,1.0,0,0,3,8,1360,800.0,1978.0,0,98023,47.3129,-122.39,2090,8400,Urban,Ranch,44
128,128,128,2331300505,20140613T000000,822500.0,5,3.5,2320.0,4960,,0,0,5,7,1720,600.0,,0,98103,47.6763,-122.352,1700,4960,Suburban,Cape Cod,96
129,129,129,7853210060,20150406T000000,430000.0,4,2.5,2070.0,4310,2.0,0,0,3,7,2070,0.0,,0,98065,47.5319,-121.85,1970,3748,Urban,Ranch,18
130,130,130,3668000070,20150105T000000,212000.0,3,1.75,1060.0,7875,1.0,0,0,4,7,1060,0.0,,0,98092,47.2761,-122.152,1420,7680,Suburban,Contemporary,36
131,131,131,9545240070,20150428T000000,660500.0,4,2.25,,9603,1.0,0,0,3,8,1440,570.0,1986.0,0,98027,47.5343,-122.054,2060,9793,Urban,Contemporary,36
132,132,132,1243100136,20140612T000000,784000.0,3,3.5,3950.0,111078,1.5,0,0,3,9,2460,1490.0,1989.0,0,98052,47.697,-122.072,2480,88500,Rural,Ranch,33
133,133,133,8929000270,20140512T000000,453246.0,3,2.5,2010.0,2287,,0,0,3,8,1390,620.0,2014.0,0,98029,47.5517,-121.998,1690,1662,Urban,Ranch,8
134,134,134,2767602356,20150126T000000,675000.0,4,3.5,,2278,3.0,0,0,3,9,2140,0.0,2005.0,0,98107,47.6734,-122.38,1540,2285,Rural,Victorian,17
135,135,135,921049315,20140813T000000,199000.0,3,1.75,1320.0,17390,1.0,0,0,4,7,1320,0.0,1956.0,0,98003,47.3257,-122.296,1550,19265,Rural,Ranch,66
136,136,136,3655000070,20140805T000000,220000.0,4,1.75,2020.0,7840,,0,0,3,7,1010,1010.0,1968.0,0,98003,47.3309,-122.299,1750,8140,Suburban,Cape Cod,54
137,137,137,4027700812,20140529T000000,452000.0,4,2.25,2590.0,10002,1.0,0,0,4,8,1340,1250.0,1968.0,0,98028,47.7689,-122.266,1550,10436,Urban,Ranch,54
138,138,138,3992700335,20140707T000000,382500.0,2,1.0,1190.0,4440,1.0,0,0,3,6,1190,0.0,1981.0,0,98125,47.7135,-122.287,1060,5715,Suburban,Ranch,41
139,139,139,2767603505,20140507T000000,519950.0,3,2.25,1170.0,1249,,0,0,3,8,1170,0.0,2014.0,0,98107,47.6722,-122.381,1350,1310,Suburban,Ranch,8
140,140,140,4232901525,20140627T000000,665000.0,2,1.0,,3200,1.0,0,0,3,7,1110,0.0,1925.0,0,98119,47.6338,-122.358,1170,3600,Suburban,Cape Cod,97
141,141,141,1777500060,20140708T000000,527700.0,5,2.5,2820.0,9375,1.0,0,0,4,8,1550,1270.0,1968.0,0,98006,47.5707,-122.128,2820,9375,Urban,Colonial,54
142,142,142,1432900240,20150508T000000,205000.0,3,1.0,1610.0,8579,1.0,0,0,4,7,1010,600.0,1962.0,0,98058,47.4563,-122.171,1610,8579,Urban,Ranch,60
143,143,143,6140100875,20150415T000000,420000.0,3,1.0,1060.0,8097,1.0,0,0,4,7,940,120.0,1923.0,0,98133,47.7144,-122.351,1560,7940,Urban,Cape Cod,99
144,144,144,6071600370,20150227T000000,500000.0,4,2.25,2030.0,8517,,0,0,4,8,1380,650.0,1961.0,0,98006,47.5495,-122.174,2230,8824,Urban,Ranch,61
145,145,145,1526069017,20141203T000000,921500.0,4,2.5,3670.0,315374,2.0,0,0,4,9,3670,0.0,,0,98077,47.7421,-122.026,2840,87991,Urban,Cape Cod,28
146,146,146,809001525,20140625T000000,890000.0,4,1.0,2550.0,4000,2.0,0,0,3,8,2370,180.0,1905.0,0,98109,47.6354,-122.353,2200,4000,Suburban,Colonial,117
147,147,147,3224079105,20140806T000000,430000.0,2,2.5,2420.0,60984,2.0,0,0,3,7,2420,0.0,2007.0,0,98027,47.5262,-121.943,1940,193842,Urban,Contemporary,15
148,148,148,8075400570,20141030T000000,258000.0,5,2.0,2260.0,12500,1.0,0,0,4,8,1130,1130.0,1960.0,0,98032,47.3887,-122.286,1360,18000,Urban,Colonial,62
